Posts;Labels
In de afgelopen weken hebben burgemeester Sharon Dijksma en ik elkaar in verschillende overleggen met andere bestuurders gesproken over o.a. het versnellen van de woningbouw en over de uitdagingen in de asielopvang. Die gesprekken deed zij als voorzitter van de @VNGemeenten. Vanmiddag kwam ze op bezoek als burgemeester van Utrecht en spraken we over grote onderwerpen die spelen voor gemeenten en in haar stad, waaronder uiteraard asiel, maar ook jeugdzorg.;1
"Vanaf 16.45 uur gaan @MinisterAenM Van den Brink, @ministerjenv Van Weel, @minister_bzk Heerma en ik met de Tweede Kamer in debat over de normalisering van geweld in politiek en samenleving.

Volg het debat live via: ";1
"Bedroefd door overlijden van Urgenda-boegbeeld Marjan Minnesma. Denk met plezier en waardering terug aan onze samenwerking, onder meer in mijn functie als minister van Klimaat. 

Ik herinner me haar als een onophoudelijke voorvechter voor de klimaatzaak; altijd creatief nadenkend en constructief meezoekend naar oplossingen. Ik wens haar naasten veel sterkte met dit verdrietige verlies.";1
"Bedroefd door overlijden van Urgenda-boegbeeld Marjan Minnema. Denk met plezier en waardering terug aan onze samenwerking, onder meer in mijn functie als minister van Klimaat. 

Ik herinner me haar als een onophoudelijke voorvechter voor de klimaatzaak; altijd creatief nadenkend en constructief meezoekend naar oplossingen. Ik wens haar naasten veel sterkte met dit verdrietige verlies.";1
"De afgelopen maanden is de situatie op de Westelijke Jordaanoever verder verslechterd.

Zie hieronder de verklaring van Nederland en verschillende internationale partners, waarin we Israël onder meer oproepen om een einde te maken aan de uitbreiding van illegale nederzettingen. ";0
"De afgelopen maanden is de situatie op de Westelijke Jordaanoever verder verslechterd.

Zie hieronder de verklaring van Nederland en verschillende internationale partners, waarin we Israël onder meer oproepen om een einde te maken aan de uitbreiding van nederzettingen. ";0
Terugkijken: het inleidend statement van de wekelijkse persconferentie van premier Rob Jetten na de #ministerraad. Met aandacht voor gesprekken met gemeenten over asielopvang, stappen die komende week genomen kunnen worden om meer grip te krijgen op migratie, en maatregelen tegen producten uit illegale nederzettingen op de Westelijke Jordaanoever.;1
Kijk vanaf 13.30 uur de persconferentie na de #ministerraad live op X of via mijn YouTube-kanaal: ;1
"Vandaag gesproken met Oxfam Novib, PAX, Artsen Zonder Grenzen, Save the Children en Amnesty. Organisaties die onder de moeilijkste omstandigheden levens redden en opkomen voor mensenrechten. 

Ook in Gaza en op de Westelijke Jordaanoever, waar hun collega’s dagelijks enorme risico’s lopen. De situatie daar blijft onmenselijk. Ondanks afspraken over een staakt-het-vuren gaan de aanvallen door, terwijl humanitaire hulp nog altijd veel te moeilijk de mensen bereikt die het hard nodig hebben.

Dit kabinet blijft zich daarom duidelijk uitspreken tegen schendingen van het internationaal recht. We voeren de druk op de regering-Netanyahu op, werken aan maatregelen tegen producten uit illegale nederzettingen en zetten ons in voor extra sancties tegen gewelddadige kolonisten én Hamas.

Want de Palestijnen verdienen vrede en perspectief op een eigen staat, naast een veilig Israël. Daarom blijven we werken aan de enige duurzame oplossing: de twee-staten oplossing. Iedere stap richting annexatie is voor ons onacceptabel.";1
"Vandaag gesproken met Oxfam Novib, PAX, Artsen Zonder Grenzen, Save the Children en Amnesty. Organisaties die onder de moeilijkste omstandigheden levens redden en opkomen voor mensenrechten. Ook in Gaza en op de Westelijke Jordaanoever, waar hun collega’s dagelijks enorme risico’s lopen. De situatie daar blijft onmenselijk. Ondanks afspraken over een staakt-het-vuren gaan de aanvallen door, terwijl humanitaire hulp nog altijd veel te moeilijk de mensen bereikt die het hard nodig hebben.

Dit kabinet blijft zich daarom duidelijk uitspreken tegen schendingen van het internationaal recht. We voeren de druk op de regering-Netanyahu op, werken aan maatregelen tegen producten uit illegale nederzettingen en zetten ons in voor extra sancties tegen gewelddadige kolonisten én Hamas.

Want de Palestijnen verdienen vrede en perspectief op een eigen staat, naast een veilig Israël. Daarom blijven we werken aan de enige duurzame oplossing: de twee-staten oplossing. Iedere stap richting annexatie is voor ons onacceptabel.";1
"De komst van een asielopvang heeft impact op een buurt. Daarom is het belangrijk dat gemeenten buurtbewoners meenemen in het proces en met hen in gesprek gaan. Veel gemeenten, waaronder de gemeente Haarlem, geven hierin het goede voorbeeld.

Vanmiddag bezocht ik een opvanglocatie in Haarlem. Ook sprak ik mensen uit de buurt, medewerkers van het COA en burgemeester Jos Wienen. 

De veerkracht van de buurt en de betrokkenheid van de gemeente en het COA zijn bewonderenswaardig. Verschillende omwonenden zijn als vrijwilliger actief bij de opvang en bij de opening brachten buurtbewoners spullen en eten mee voor de mensen die opgevangen worden. Tegelijkertijd zijn er ook omwonenden die kritisch zijn op de aanwezigheid van een opvanglocatie. In het gesprek van vanmiddag was voor beide geluiden ruimte. En dat is goed, want we zullen elkaar niet altijd kunnen overtuigen, maar we moeten in gesprek blijven.";1
"Heel bijzonder om vandaag mee te kijken bij Stem in de Stad, een aanloopcentrum dat zich inzet voor Haarlemmers die het moeilijk hebben en omkijkt naar mensen die niet altijd gehoord of gezien worden.
 
Grote waardering voor het werk dat de vrijwilligers hier doen. Hun verhalen en bevlogenheid zijn indrukwekkend. Zij bekommeren zich om mensen die hulp nodig hebben, ongeacht hun situatie. Met bijvoorbeeld taalles, juridische ondersteuning of gewoon een goed gesprek.
 
Ik heb ook schrijnende verhalen gehoord vandaag. Van mensen die op straat leven, geen thuis hebben of verdwalen tussen regelgeving. Dakloosheid kan iedereen overkomen en die mensen mogen we nooit uit het oog verliezen. Een aanloopcentrum als Stem in de Stad speelt daarbij een belangrijke rol.";1
De Israëlische behandeling van Flotilla-activisten is mensonterend en gaat alle perken te buiten. @MinisterBZ Berendsen ontbiedt de Israëlische ambassadeur en ik heb president Herzog hierop aangesproken. Nederland verwacht van Israël dat deze activisten zo snel mogelijk worden vrijgelaten.;0
"Nederland en Moldavië werken op verschillende gebieden nauw samen.
Vandaag ontving ik @sandumaiamd om onze banden te bespreken en verdiepen.

Sinds de start van de Russische agressieoorlog tegen Oekraïne is Moldavië een belangrijke partner voor buurland Oekraïne en de rest van Europa. Nederland blijft Moldavië hierin steunen en staat dan ook achter de toetreding van Moldavië tot de EU. 

Vandaag hebben we Moldavië €1,5 miljoen toegezegd aan extra steun, gericht op defensiesamenwerking en het versterken van de cyberveiligheid en de hybride weerbaarheid van Moldavië.

Onze sterke banden bieden kansen om op verder te bouwen. Bijvoorbeeld door samen te werken op het gebied van tuinbouw en duurzame energie. Ik kijk er naar uit om hier samen met president Sandu mee aan de slag te gaan.";1
Mijn statement na de bijeenkomst met lokale overheden op het Catshuis over asielopvang. ;1
"Zuid-Afrika is één van de belangrijkste partners in Afrika, met name als het gaat om handel. Daarbij werken we op terreinen als klimaat, cyberveiligheid en groene waterstof nauw samen en vinden we elkaar op onderwerpen als mensenrechten en gendergelijkheid. 

Daarom goed om kennis te maken met de Zuid-Afrikaanse president Ramaphosa. We spraken over het belang van onze samenwerking, zowel bilateraal als in multilaterale verbanden als de G20 en de VN. Daarnaast ging het over geopolitieke onderwerpen, zoals de oorlogen in het Midden-Oosten, Oekraïne en Soedan.";1
Meer betaalbare woningen is een topprioriteit voor het kabinet. Dat pakken we aan met een speciale taskforce die samenwerkt met medeoverheden, woningbouwcorporaties en marktpartijen om belemmeringen weg te nemen en woningbouw te versnellen. ;1
Goed om bij te praten met burgemeester van Rotterdam en oud-collega Carola Schouten. We spraken over wat er speelt in de stad en in de haven, die als grootste van Europa een strategische positie heeft in onze economie. We zullen regelmatig contact met elkaar houden en ik zie uit naar onze samenwerking.;1
"Als Nederland iets goed kan, dan is het omgaan met water. India heeft daarom grote interesse in onze expertise op het gebied van watermanagement. Onze samenwerking op dit gebied willen we verder uitbreiden.
 
Daarom bezocht ik samen met premier @narendramodi een icoon onder de Nederlandse waterbouwwerken: de Afsluitdijk.
 
Hier kregen we toelichting over de geschiedenis van de dijk, hoe deze ons beschermt tegen overstromingen en hoe het innovatieve en duurzame energievormen mogelijk maakt.

🇳🇱🤝🇮🇳";1
Koningin Máxima viert vandaag haar 55ste verjaardag, van harte gefeliciteerd! Ik wens haar een mooie en feestelijke dag toe. 🎉 ;1
"In internationaal onzekere tijden is het van extra belang dat we kunnen vertrouwen op gelijkgestemde en gewaardeerde partners. Met India delen we het belang dat we hechten aan democratie, goed bestuur en een wereldorde gebaseerd op regels en recht.
 
Met premier @narendramodi sprak ik vanavond onder meer over de afsluiting van de Straat van Hormuz, met hoge energieprijzen tot gevolg. Net als Nederland wordt ook India hier hard door getroffen. Het is van groot belang dat het conflict snel wordt beëindigd en er een blijvende oplossing komt. Ook spraken we over de zaak van de ontvoering van Insiya door haar vader naar India.";1
"De vriendschap tussen India en Nederland staat in volle bloei. Dat onderstreept het bezoek van premier @narendramodi van India aan Nederland ook. Het is een band die bovendien naar een nog hoger niveau wordt getild doordat we een Strategisch Partnerschap met elkaar aangaan. 

Dit partnerschap werpt nu al zijn vruchten af. Dit weekend ondertekenen onze landen meerdere intentieverklaringen, onder meer op gebied van defensiesamenwerking, de ontwikkeling van belangrijke nieuwe technologieën en innovaties, gezondheidszorg en watermanagement. Ook ASML en Tata Electronics ondertekenden samen een verklaring die een belangrijke stap is naar nauwere samenwerking op gebied van semicon.

Dat komt nog eens bovenop het grote, historische handelsakkoord dat India en de EU begin dit jaar hebben gesloten. Kortom, we zetten enorme stappen vooruit in onze samenwerking en dat is echt een win-winsituatie.
 
🇳🇱🤝🇮🇳";1
"De vriendschap tussen India en Nederland staat in volle bloei. Dat onderstreept het bezoek van premier @narendramodi van India aan Nederland ook. Het is een band die bovendien naar een nog hoger niveau wordt getild doordat we een Strategisch Partnerschap met elkaar aangaan. 

Dit partnerschap werpt nu al zijn vruchten af. Dit weekend zijn of worden er meerdere intentieverklaringen ondertekend, onder meer op gebied van defensiesamenwerking, de ontwikkeling van belangrijke nieuwe technologieën en innovaties, gezondheidszorg en watermanagement. Ook ASML en Tata Electronics hebben samen een verklaring ondertekend die een belangrijke stap is naar nauwere samenwerking op gebied van semicon.
 
Dat komt nog eens bovenop het grote, historische handelsakkoord dat India en de EU begin dit jaar hebben gesloten. Kortom, we zetten enorme stappen vooruit in onze samenwerking en dat is echt een win-winsituatie.
 
🇳🇱🤝🇮🇳";1
"In de afgelopen weken is het rond demonstraties tegen de opvang van asielzoekers volledig uit de hand gelopen. Vernielingen, brandstichting, en geweld tegen politie en hulpverleners. Intimidatie van lokale bestuurders. Angst onder bewoners en medewerkers van opvanglocaties. Volstrekt ontoelaatbaar, op geen enkele manier goed te praten.

Vanmiddag sprak ik op het Catshuis met politieagenten en brandweermensen en medewerkers van het COA en vrijwilligers uit de vluchtelingenopvang. 

Ze vertelden mij over hun persoonlijke ervaringen vanuit het werk dat ze doen, de impact van de onrust en het geweld en specifiek over de grote escalaties in de afgelopen periode. Daarbij benadrukten ze het belang van in gesprek blijven, óók met de mensen die zorgen hebben.

Hun ervaringen en de wijze waarop zij zich elke dag inzetten voor onze samenleving raken me. Ik heb goed geluisterd naar hun verhalen, hen enorm bedankt voor hun inzet en ook voor hun openhartigheid vandaag. 

Het kabinet staat onvoorwaardelijk voor de veiligheid van agenten, hulpverleners en hulporganisaties en steunt het lokaal bestuur in hun aanpak van dit geweld.";1
"Masha danki en hopelijk tot snel! Mijn bezoek aan Dushi Korsou was er een om niet snel te vergeten.  
 
Op de marinebasis Parera werd ik door de Commandant bijgepraat over de impact van geopolitieke spanningen op het Caribisch deel van het Koninkrijk. Maar ook over het belangrijke werk van de kustwacht en de Kmar tegen drugshandel of hulp bij rampen, zoals orkanen. 

Daarna een prachtig en vooral indrukwekkend bezoek aan het Tula-museum. Tula was de leider van de grootste slavenopstand op Curaçao. Het is ongelooflijk belangrijk dat we die duistere periode uit onze gedeelde geschiedenis onder ogen blijven zien, de helden uit die tijd eren en ervan leren voor onze gezamenlijke toekomst. Het Tula-museum geeft dat verhaal een gezicht en viert de trotse cultuur van eiland en regio.  
 
Na een leerzame bijeenkomst over wijkversterking in Bandabou vervolgden we het programma met het Batterijpark Hofi Mooi van Aqualectra, dat met hulp van Nederland tot stand kwam. Een belangrijke schakel naar een duurzame energievoorziening op het eiland.  
 
De Blue Wave Fanshop kon natuurlijk niet ontbreken. Bijzonder dat twee landen van het Koninkrijk deelneem aan het WK-voetbal. Voor Curaçao wordt het de eerste keer en we hopen allemaal dat ze in de poulefase Duitsland verslaan ;) 
 
Heel veel dank aan iedereen op de eilanden die deze mooie, nuttige en leerzame reis aan het Caribisch deel van ons Koninkrijk mogelijk heeft gemaakt!";1
"Curaçao bloeit en groeit. Bij aankomst hartelijk welkom geheten door premier Gilmar Pisas op alweer mijn laatste bestemming van deze reis; het mooie Curaçao! 

In mijn gesprek met premier Pisas, en ook met de voorzitter van de Staten, de leden van het parlement en de ministerraad, kwamen tal van actuele onderwerpen voorbij. Het ging onder andere over alle geopolitieke spanningen, ook in deze regio, en de gevolgen daarvan voor de kosten van levensonderhoud. 

Een ander belangrijk onderwerp was de bestuurlijke samenwerking tussen onze landen. In dat kader keken we ook vooruit naar het voornemen om een Koninkrijksconferentie te organiseren, dat als terugkerend overleg moet dienen tussen de vier regeringen als volwaardige partners binnen het Koninkrijk. 

Hier kunnen relevante ontwikkelingen binnen het Koninkrijk worden besproken en hoe onze landen nog meer kunnen optrekken en zo echt de kansen te benutten om het leven van mensen  hier beter te maken.";1
"Felis dia! Aruba bruist van de energie. De dag begon al goed met een schitterend bezoek aan het Nationaal Park Arikok. In dit grote natuurreservaat leerde ik wat Aruba doet op het gebied van duurzaamheid, biodiversiteit en natuurherstel.

Tijdens een sportdag zag ik jong sporttalent in actie. Een mooi evenement dat het belang van sport en beweging voor jongeren onderstreept en hoe talentontwikkeling hier op het eiland wordt gestimuleerd. Ook maakt het jongeren hier bewust van het belang van een gezonde levensstijl. 

Met de voorzitter van het parlement en verschillende fractievoorzitters sprak ik over goed (financieel) bestuur, sociaaleconomische ontwikkeling van het eiland en over effectieve samenwerking binnen het Koninkrijk. 

Tot slot bezocht ik vliegveld Reina Beatrix. Hier zag ik hoe hard er gewerkt wordt aan het moderniseren van de luchthaven; belangrijk voor het toerisme en de economie. De regionale toeristische hub-functie van Aruba wordt verder versterkt. 

Onlangs vierde Aruba de status aparte van het eiland. Sindsdien is al veel bereikt. Dit bezoek geeft mij veel vertrouwen in de toekomst van dit mooie eiland.";1
Terugkijken: het inleidend statement van vicepremier Dilan Yeşilgöz-Zegerius (@DefensieMin) bij de wekelijkse persconferentie na de #ministerraad. Met aandacht voor het ontoelaatbare geweld bij acties tegen een azc in Loosdrecht gisteravond, een vooruitblik op Verantwoordingsdag en de situatie rond de Straat van Hormuz.;1
"Veel dank aan collega Mike Eman voor de warme en de meer dan gastvrije ontvangst op Aruba. 

De premier en ik spraken over de gevolgen van de geopolitieke situatie rond Venezuela. Aruba is sterk afhankelijk van import en wordt dus direct geraakt door hoge wereldprijzen. Plannen voor diversificatie van de economie en het versterken van de sociale situatie van Arubanen zijn daarom erg belangrijk. Onderwijs, wonen, goede zorg en duurzaamheid staan daarbij hoog op de agenda.

Met de ministerraad van Aruba hebben we vooruit gekeken naar onze samenwerking in de komende jaren. Door binnen het Koninkrijk kennis en expertise te delen, kunnen we veel voor elkaar krijgen.";1
Kijk vanaf 13.45 uur de persconferentie na de #ministerraad van vicepremier Dilan Yeşilgöz-Zegerius (@DefensieMin) live op X of op YouTube: ;1
"Masha danki Bonaire 🇧🇶 Een mooi werkbezoek in het teken van een duurzaam, economisch sterk en leefbaar eiland voor iedereen.

Nederland heeft samen met Bonaire de afgelopen jaren ingezet op meer bestaanszekerheid. Naast een hoger minimumloon is ook een betaalbaar huis van groot belang. Momenteel worden meer dan 250 sociale huurwoningen opgeleverd. Een prachtig project waar mensen hun thuis kunnen vinden. 

Een veelbesproken thema is Selibon Lagun. Door een onveilige opslag brengt deze afvalstortplaats al geruime tijd ernstige risico’s met zich mee voor milieu en de leefomgeving. Ik ben met eigen ogen gaan kijken hoe dit probleem kan worden opgelost. Het is belangrijk dat de ingezette verbeteringen nu worden doorgezet. Met de gezondheid van inwoners op Bonaire op nummer 1. 

Veel dank aan gezaghebber John Soliano, waarnemend Rijksvertegenwoordiger Jan Helmond, de Eilandsraad en het bestuurscollege en alle inwoners voor de gastvrije ontvangst. Vandaag heb ik gezien  dat Bonaire een eiland is met veel potentie Bijvoorbeeld op het terrein van infrastructuur, goede en betaalbare huisvesting, maar ook op natuur-, milieu- en klimaatthema’s. 

Nederland wil helpen om de kansen die er liggen, ook te pakken. Dat is een gezamenlijke opdracht. Nos ta un Reino!";1
Ronduit schandalig hoe een groep relschoppers vanavond in Loosdrecht geweld gebruikte, brand stichtte en mensen angst aanjoeg. Je zorgen mag je uitspreken, altijd. Maar geweld gebruiken mag nooit.;0
"Veel dank aan het geweldige personeel van Fundashon Mariadal voor de goede zorg! 

Een speciaal bezoek op de Dag van de Verpleging vandaag. Na een heftige allergische reactie moest ik even een paar uur worden opgenomen in het ziekenhuis. Dankzij de uitstekende zorg van Fundashon Mariadal voel ik me stukken beter en kan ik met een wat aangepast programma alsnog het werkbezoek aan Bonaire hervatten.";1
"Een speciaal bezoek op de Dag van de Verpleging. 

Na een heftige allergische reactie moest ik even een paar uur worden opgenomen in het ziekenhuis. Dankzij de uitstekende zorg van Fundashon Mariadal voel ik me stukken beter en kan ik met een wat aangepast programma alsnog het werkbezoek aan Bonaire hervatten.";1
"Het prachtige eiland Sint Eustatius is een plek met een rijke geschiedenis. Dat zie je en dat voel je als je een bezoek brengt aan Fort Oranje en het Heritage Center. Hier komt de geschiedenis van ‘Statia’ tot leven. Met nu terecht ook meer aandacht voor de helden die vochten voor de vrijheid van slavernij. Belangrijk dat we aandacht blijven besteden aan deze beruchte periode uit onze gezamenlijke geschiedenis.
 
Ook bracht ik een bezoek aan de GTI-olieterminal die goed is voor rond de 200 banen op het eiland. De terminal is een cruciale schakel in de energieleveringen in de Caribische regio. Extra belangrijk in geopolitiek onrustige tijden. 

Met de gezaghebber, het bestuurscollege en leden van de Eilandraad sprak ik over hoe we het lokale bestuur verder kunnen versterken. Zodat we samen het eiland economisch en sociaal een boost kunnen geven. Veiligheid, goed onderwijs en toegankelijke zorg spelen daarbij een belangrijke rol. 
 
De belangrijkste feestdag van het eiland ‘Statia Day’ wordt dit jaar extra bijzonder. In november is het 250 jaar geleden dat Sint Eustatius met ‘The First Salute’ als eerste staat ter wereld de VS erkende als onafhankelijke land. Het team heeft me bijgepraat over de voorbereidingen van alle festiviteiten.

Veel dank aan gezaghebber Francis voor het warme welkom en het prachtige bezoek aan Sint Eustatius.";1
"Het prachtige eiland Sint Eustatius is een plek met een rijke geschiedenis. Dat zie je en dat voel je als een bezoek brengt aan Fort Oranje en het Heritage Center. Hier komt de geschiedenis van ‘Statia’ tot leven. Met nu terecht ook meer aandacht voor de helden die vochten voor de vrijheid van slavernij. Belangrijk dat we aandacht blijven besteden aan deze beruchte periode uit onze gezamenlijke geschiedenis.
 
Ook bracht ik een bezoek aan de GTI-olieterminal die goed is voor rond de 200 banen op het eiland. De terminal is cruciale schakel in de energieleveringen in de Caribische regio. Extra belangrijk in geopolitiek onrustige tijden. 

Met de gezaghebber, het bestuurscollege en leden van de Eilandraad sprak ik over hoe we het lokale bestuur verder kunnen versterken. Zodat we samen het eiland economisch en sociaal een boost kunnen geven. Veiligheid, goed onderwijs en toegankelijke zorg spelen daarbij een belangrijke rol. 
 
De belangrijkste feestdag van het eiland ‘Statia Day’ wordt dit jaar extra bijzonder. In november is het 250 jaar geleden dat Sint Eustatius met ‘The First Salute’ als eerste staat ter wereld de VS erkende als onafhankelijke land. Het team heeft me bijgepraat over de voorbereidingen van alle festiviteiten.

Veel dank aan gezaghebber Francis voor het warme welkom en het prachtige bezoek aan Sint Eustatius.";1
"Aangekomen op Sint Eustatius was het goed om kennis te maken met gezaghebber Alida Francis. Alida Francis is de eerste vrouwelijke gezaghebber binnen het Koninkrijk, en een geboren en getogen Statiaan. Iemand van wie ik dus als geen ander kan horen hoe het gaat op het eiland.
 
We spraken met de overige leden van het bestuurscollege verder over de samenwerking met Den Haag, de veiligheid op Sint Eustatius en de uitdagingen die er liggen op het gebied van infrastructuur, klimaataanpak en het afvalbeheer.
 
Een mooi begin van mijn bezoek aan dit kleine maar prachtige eiland.";1
"Een geweldig bezoek aan Saba vandaag. Het eiland wordt ook wel ‘the unspoiled Queen’ genoemd. Terecht, want de natuurlijke schoonheid is ongekend. Evenals de vastberadenheid om deze voor toekomstige generaties te behouden.  
 
Het is goed te zien hoeveel werk er wordt verzet op Saba. Vooral de bouw van de nieuwe, orkaanbestendige zeehaven (Black Rocks Harbor) springt daarbij in het oog. 

Tijdens mijn bezoek aan het Saba Enrichment Center in St. Johns, een scholengroep en wijkcentrum waar mensen laagdrempelig kunnen samenkomen, heb ik ervaren dat hoe klein het eiland ook is, de gemeenschapszin groot is. En in het Saba Cares Nursing Home had ik de eer om - op Moederdag - cadeautjes uit te delen aan alle moeders en grootmoeders in het verpleeghuis.  
 
Uiteraard ontmoette ik ook het eilandsbestuur. Met gezaghebber Johnson, de eilandraad en het bestuurscollege sprak ik onder andere over de bereikbaarheid van Saba, de bestrijding van criminaliteit, de aanpassing aan klimaatverandering en de kosten van levensonderhoud.  
 
Veel dank aan iedereen op Saba voor de gastvrije ontvangst; volgende bestemming is Eustatius.";1
"Gezaghebber Johnson van Saba is de langstzittende eilandgouverneur en daarom goed om hem te spreken over zijn ervaringen van de afgelopen achttien jaar.  
 
Ons gesprek ging ook over onderwerpen als de verbinding met de andere bovenwindse eilanden, met name in relatie tot voedselzekerheid, en de voortgang van verschillende infrastructurele projecten op Saba, onder meer de Black Rocks Harbor; het belangrijkste infrastructurele project van Saba en cruciaal voor de toekomstige economie.  
 
Ik ben er zeker van dat het voor de inwoners van Saba onwerkelijk moet aanvoelen dat hij binnenkort zal aftreden. Ik heb hem zeer bedankt voor zijn belangrijke werk voor dit mooie eiland.";1
"Het Nederlandse cruiseschip Hondius is vandaag veilig aangekomen op Tenerife.  Passagiers en crew worden op het schip medisch gecontroleerd om vervolgens veilig door te reizen. De publieke gezondheid staat daarbij voorop.

Mijn grote dank aan de Spaanse autoriteiten en premier @sanchezcastejon die dit mogelijk hebben gemaakt. Veel waardering voor de goede en constructieve samenwerking tussen ons beide landen de afgelopen dagen.";1
"🇸🇽 Een mooie dag op Sint Maarten vandaag betekent een geslaagde start van mijn bezoek aan het Caribische deel van ons Koninkrijk. 
  
Mijn bezoek stond een groot deel in het teken van de desastreuse gevolgen van de orkanen Irma en Maria die het eiland in 2017 teisterden, en de wederopbouw van het eiland. Daarbij heb ik met eigen ogen gezien hoeveel er al bereikt is. Heel indrukwekkend en veelzeggend over de veerkracht van de mensen hier.  
 
Met premier Mercelina, gouverneur Baly, de Raad van Ministers en leden van het parlement, sprak ik over verschillende belangrijke onderwerpen. Naast de wederopbouw ging het in mijn gesprekken vooral over het belang van een gelijkwaardige en respectvolle samenwerking binnen het Koninkrijk. 

Ook de veiligheid op het eiland was vandaag met de minister van Justitie, mevrouw Tackling, en vertegenwoordigers van de politie en de rechterlijke macht, een belangrijk gespreksonderwerp. Het is cruciaal dat we blijven samenwerken op het gebied van grenscontrole en ondermijning. 
 
Ik heb iedereen bedankt voor het warme welkom op Sint Maarten; morgen op naar Saba!";1
